,Code,Name,City,Postal_Code,Country_Code,Longitude,Latitude,Gmt_Offset,World_Area_Code
,SLT,Salida,Salida,81201,USA,-106.0333,38.55,7,67
,SLU,George F L Charles,Castries,,LCA,-61.9931,14.0203,-4,276
,SLV,Simla,Simla,,IND,77.15,31.1167,-5.5,733
,SLW,Saltillo,Saltillo,,MEX,-100.9333,25.55,6,148
,SLX,Salt Cay,Salt Cay,,TCA,-71.1667,21.9167,5,281
,SLY,Salekhard,Salekhard,,RUS,66.6,66.5833,-2,770
,SMA,Vila Do Porto,Santa Maria,,PRT,-25.1706,36.9714,-1,469
,SMB,Cerro Sombrero,Cerro Sombrero,,CHL,-69.2667,-52.6667,4,324
,SMC,Santa Maria,Santa Maria,,COL,-77.05,8.1667,5,327
,SMD,Smith Field,Fort Wayne,46825,USA,-85.1528,41.1433,-5,67
,SME,Pulaski County,Somerset,42501,USA,-84.6,37.0833,5,67
,SMF,Sacramento International,Sacramento,95837,USA,-121.6167,38.7,-8,67
,SMG,Santa Maria,Santa Maria,,PER,-77,-11.9833,5,368
,SMH,Sapmanga,Sapmanga,,PNG,146.75,-6.0833,-10,804
,SMI,Samos,Samos,,GRC,26.9022,37.6844,2,433
,SMJ,Sim,Sim,,PNG,146.8333,-7.6667,-10,804
,SMK,St Michael,St Michael,99659,USA,-162.0167,63.4833,9,67
,SML,Estate Airstrip,Stella Maris,,BHS,-75.3,23.6,5,204
,SMM,Semporna,Semporna,,MYS,118.6,4.45,-8,749
,SMN,Salmon,Salmon,83467,USA,-113.9167,45.1833,7,67
,SMO,Santa Monica,Santa Monica,90405,USA,-118.45,34.0158,-8,67
,SMP,Stockholm,Stockholm,,PNG,151.55,-4.35,10,804
,SMQ,Sampit,Sampit,,IDN,112.95,-2.5333,-8,832
,SMR,Simon Bolivar,Santa Marta,,COL,-74.2167,11.1361,5,327
,SMS,Sainte Marie,Sainte Marie,,MDG,49.8158,-17.0939,3,541
,SMT,Sun Moon Lake,Sun Moon Lake,,TWN,120.9333,23.8833,-8,781
,SMU,Sheep Mountain,Sheep Mountain,99645,USA,-147.6667,61.8,9,67
,SMV,Samedan,St Moritz,,CHE,9.8842,46.5342,1,486
,SMW,Smara,Smara,,MAR,-11.6833,26.7333,,548
,SMX,Public,Santa Maria,93455,USA,-120.45,34.9,8,67
,SMY,Simenti,Simenti,,SEN,-13.1667,13.1667,,569
,SMZ,Stoelmans Eiland,Stoelmans Eiland,,SUR,-55.0083,5.075,3,379
,SNA,John Wayne,Santa Ana,92707,USA,-117.8667,33.6667,-8,67
,SNB,Snake Bay,Snake Bay,,AUS,130.75,-11.3333,-9.5,802
,SNC,Salinas,Salinas,,ECU,-80.9667,-2.2167,5,337
,SND,Seno,Seno,,LAO,105.0167,16.6667,-7,744
,SNE,Preguica,Sao Nicolau,,CPV,-24.25,16.5833,1,507
,SNF,San Felipe,San Felipe,,VEN,-68.7539,10.2803,4,388
,SNG,San Ignacio De Velasco,San Ignacio De Velasco,,BOL,-60.8167,-16.3333,4,312
,SNH,Stanthorpe,Stanthorpe,,AUS,151.9667,-28.6333,-10,802
,SNI,R.E. Murray,Sinoe,,LBR,-9.0644,5.0333,,537
,SNJ,San Julian,San Julian,,CUB,-84.1503,22.0853,5,219
,SNK,Winston Field,Snyder,79549,USA,-100.95,32.7,6,67
,SNL,Municipal,Shawnee,66616,USA,-96.9167,35.3167,6,67
,SNM,San Ignacio De M,San Ignacio De M,,BOL,-65.5833,-14.8667,4,312
,SNN,Shannon,Shannon,,IRL,-8.9167,52.7,,441
,SNO,Sakon Nakhon,Sakon Nakhon,,THA,104.1333,17.15,-7,782
,SNP,Saint Paul Island,Saint Paul Island,99660,USA,-170.2167,57.1667,9,67
,SNQ,San Quintin,San Quintin,,MEX,-116,30.5,8,148
,SNR,Montoir,St Nazaire,,FRA,-2.15,47.3167,-1,427
,SNS,Salinas,Salinas,93905,USA,-121.6167,36.6667,8,67
,SNT,Sabana De Torres,Sabana De Torres,,COL,-73.0083,7.6667,5,327
,SNU,Abel Santa Maria,Santa Clara,,CUB,-79.9436,22.4922,-5,219
,SNV,Santa Elena,Santa Elena,,VEN,-61.1,4.6,4,388
,SNW,Thandwe,Thandwe,,MMR,32.45,-13.8167,,706
,SNX,Sabana De Mar,Sabana De Mar,,DOM,-69.3833,19.0667,4,224
,SNY,Sidney,Sidney,59270,USA,-102.9833,41.1,7,67
,SNZ,Santa Cruz,Santa Cruz,,BRA,-42.2833,-21.55,,316
,SOA,Soc Trang,Soc Trang,,VNM,105.98,9.6033,,791
,SOB,Saarmelleek/balaton,Saarmelleek,,HUN,17.1639,46.6861,1,437
,SOC,Adi Sumarmo,Solo City,,IDN,110.75,-7.5,-7,832
,SOD,Sorocaba,Sorocaba,,BRA,-47.49,-23.4781,-3,316
,SOE,Souanke,Souanke,,COG,14.05,2.0833,-1,515
,SOF,Sofia,Sofia,,BGR,23.4,42.7,-2,411
,SOG,Haukasen,Sogndal,,NOR,7.1333,61.1667,-1,465
,SOH,Solita,Solita,,COL,-71.75,34.2333,5,327
,SOI,South Molle Island,South Molle Island,,AUS,149,-20,-10,802
,SOJ,Sorkjosen,Sorkjosen,,NOR,20.9333,69.7833,-1,465
,SOK,Semongkong,Semongkong,,LSO,28.0667,-29.1667,-2,536
,SOL,Solomon,Solomon,99762,USA,-164.3,64.5833,9,67
,SOM,Edmundo Barrios,San Tome,,VEN,-64.1511,8.9453,-4,388
,SON,Pekoa,Espiritu Santo,,VUT,167.2,-15.6667,-11,885
,SOO,Soderhamn,Soderhamn,,SWE,17.05,61.3,-1,484
,SOP,Pinehurst-S. Pines,Southern Pines,,USA,-79.5883,35.2153,5,67
,SOQ,Jefman,Sorong,,IDN,131.1167,-0.9333,-9,832
,SOR,Al Thaurah,Al Thaurah,,SYR,40.1667,34.4,-2,676
,SOT,Sodankyla,Sodankyla,,FIN,26.6167,67.3833,-2,425
,SOU,Southampton Airport,Eastleigh near Southampton,,GBR,-1.35,50.95,,493
,SOV,Seldovia,Seldovia,99663,USA,-151.7,59.45,9,67
,SOW,Show Low,Show Low,85901,USA,-110.0056,34.2656,-7,67
,SOX,Alberto Lleras Camargo,Sogamoso,,COL,-72.95,5.6833,5,327
,SOY,Stronsay,Stronsay,,GBR,-2.5167,59.1833,,493
,SOZ,Solenzara,Solenzara,,FRA,9.3833,41.85,-1,427
,SPA,"Spartanburg, Downtown Memorial",Spartanburg,29306,USA,-81.9564,34.9158,-5,67
,SPB,SPB,St Thomas Island,,VIR,-64.9408,18.3386,-4,4
,SPC,La Palma,Santa Cruz De La Palma,,ESP,-17.75,28.6833,,482
,SPD,Saidpur,Saidpur,,BGD,88.7667,25.7667,-6,703
,SPE,Sepulot,Sepulot,,MYS,116.4667,4.7167,-8,749
,SPF,Black Hills,Spearfish,57783,USA,-103.85,44.4833,7,67
,SPH,Sopu,Sopu,,PNG,147.7667,-9,-10,804
,SPI,Capital,Springfield,62707,USA,-89.6833,39.85,-6,67
,SPJ,Eleftherios Venizelos,Athens,,GRC,23.9444,37.9364,-2,433
