,Iata_Code,Icao_Code,Call_Sign,Name,Country_Code
715,R5,JAV,JORDAN AVIATION,Jordan Aviation,61
716,HO,DKH,JUNEYAO AIRLINES,Juneyao Airlines,181
717,KD,KNI,KALININGRAD AIR,KD Avia,191
718,WA,KLC,CITY,KLM Cityhopper,71
719,KL,KLM,KLM,KLM,61
720,N2,QNK,KABO,Kabo Air,91
721,K4,CKS,CONNIE,Kalitta Air,61
722,K9,KFS,KALITTA,Kalitta Charters,191
723,RQ,KMF,KAMGAR,Kam Air,111
724,E2,KMP,KAMPUCHEA,Kampuchea Airlines,61
725,V2,AKT,AVIAKARAT,Karat,81
726,5R,KAJ,KARTHAGO,Karthago Airlines,211
727,3Y,KAE,KARTIKA,Kartika Airlines,161
728,6S,KAT,KATO-AIR,Kato Airline,151
729,KV,MVD,AIR MINVODY,Kavminvodyavia,131
730,M5,KEN,KENMORE,Kenmore Air,101
731,KQ,KQA,KENYA,Kenya Airways,51
732,BZ,KEE,KEYSTONE,Keystone Air Services,161
733,KO,KHO,AIRCOMPANY KHORS,Khors Aircompany,151
734,IT,KFR,KINGFISHER,Kingfisher Airlines,131
735,Y9,IRK,KISHAIR,Kish Air,1
736,KP,KIA,KIWI AIR,Kiwi International Air Lines,31
737,KY,KNA,KNIGHTAIR,Knight Air,211
738,7K,KGL,KOGALYM,Kogalymavia Air Company,71
739,8J,KMV,KOMIINTER,Komiinteravia,61
740,KE,KAL,KOREANAIR,Korean Air,191
741,7B,KJC,KRASNOJARSKY AIR,Krasnojarsky Airlines,21
742,K9,KRI,Krylo,Krylo Airlines,151
743,GW,KIL,AIR KUBAN,Kuban Airlines,151
744,VD,KPA,KUNPENG,Kunpeng Airlines,151
745,KU,KAC,KUWAITI,Kuwait Airways,211
746,GO,KZU,KUZU CARGO,Kuzu Airlines Cargo,151
747,N5,KGZ,BERMET,Kyrgyz Airlines,101
748,6K,KTC,DINARA,Kyrgyz Trans Avia,211
749,QH,LYN,ALTYN AVIA,Kyrgyzstan,191
750,R8,KGA,KYRGYZ,Kyrgyzstan Airlines,41
751,KY,KYV,AIRKIBRIS,Kibris TÃ¼rk Hava,91
752,JF,LAB,LAB,L.A.B. Flying Service,11
753,LR,LRC,LACSA,LACSA,191
754,5U,LDE,LADE,LADE - Lineas Aereas Del Estado,171
