,Iata_Code,Icao_Code,Call_Sign,Name,Country_Code
337,B4,BKA,BANKAIR,Bankair,21
338,PG,BKP,BANGKOK AIR,Bangkok Airways,161
339,4Y,BLE,BLUE BERRY,Blue Line,91
340,KF,BLF,BLUEFIN,Blue1,131
341,JV,BLS,BEARSKIN,Bearskin Lake Air Service,161
342,B3,BLV,BELLVIEW AIRLINES,Bellview Airlines,31
343,BD,BMA,MIDLAND,BMI,111
344,WW,BMI,BABY,Bmibaby,41
345,CH,BMJ,BEMIDJI,Bemidji Airlines,51
346,5Z,BML,BISMILLAH,Bismillah Airlines,61
347,BO,BOU,BOURAQ,Bouraq Indonesia Airlines,21
348,BV,BPA,BLUE PANOROMA,Blue Panorama Airlines,211
349,NM,BPS,BASE,Budapest Aircraft Services,141
350,7R,BRB,BRA-TRANSPAEREOS,BRA-Transportes Aereos,181
351,8E,BRG,BERING AIR,Bering Air,1
352,TH,BRT,BRITISH,British Regional Airlines,181
353,B2,BRU,BELARUS AVIA,Belavia,41
354,K6,BRV,BRAVO,Bravo Air Congo,151
355,BN,BNF,Braniff,Braniff International Airways,111
356,T1,BST,TUNCA,Best Air,101
357,GQ,BSY,BIG SKY,Big Sky Airlines,211
358,V9,BTC,BASHKIRIAN,BAL Bashkirian Airlines,21
359,7P,BTV,BATAVIA,Batavia Air,51
360,J8,BVT,BERJAYA,Berjaya Air,1
361,QW,BWG,BLUE WINGS,Blue Wings,81
362,BM,BYE,BAYU,Bayu Indonesia Air,141
363,DB,BZH,BRITAIR,Brit Air,11
364,E9,CXS,CLIPPER CONNECTION,Boston-Maine Airways,201
365,SN,BEL,BEE-LINE,Brussels Airlines,111
366,NT,IBB,BINTER,Binter Canarias,191
367,0B,JOR,BLUE TRANSPORT,Blue Air,71
368,KJ,LAJ,BEE MED,British Mediterranean Airways,121
369,XH,LBY,ALBAN-BELLE,Belle Air,131
370,PV,LTL,LITTORAL,Benin Littoral Airways,31
371,FB,LZB,FLYING BULGARIA,Bulgaria Air,71
372,8N,NKF,NORDFLIGHT,Barents AirLink,191
373,5C,ICL,CAL,CAL Cargo Air Lines,181
374,AW,SCH,,CHC Airways,211
375,L5,HKS,HELIBUS,CHC Helikopter Service,101
376,XG,CLI,CALIMA,Calima Aviacion,151
377,MO,CAV,CALM AIR,Calm Air,191
378,R9,CAM,AIR CAMAI,Camai Air,121
379,UY,UYC,CAM-AIR,Cameroon Airlines,11
380,C6,CJA,CANJET,CanJet,131
381,CP,CDN,CANADIAN,Canadian Airlines,151
382,5T,MPE,EMPRESS,Canadian North,41
383,W2,CWA,CANADIAN WESTERN,Canadian Western Airlines,211
384,9K,KAP,CAIR,Cape Air,161
385,PT,CCI,CAPPY,Capital Cargo International Airlines,161
386,GG,GGC,LONG-HAUL,Cargo 360,31
387,2G,CRG,WHITE PELICAN,Cargoitalia,151
388,W8,CJT,CARGOJET,Cargojet Airways,131
389,CV,CLX,CARGOLUX,Cargolux,191
390,XC,CLT,CARIBBEAN,Caribbean Air Transport,91
391,BW,BWA,CARIBBEAN AIRLINES,Caribbean Airlines,11
392,8B,GFI,CARIB STAR,Caribbean Star Airlines,151
393,V3,KRP,CARPATAIR,Carpatair,151
394,RV,CPN,CASPIAN,Caspian Airlines,101
395,CX,CPA,CATHAY,Cathay Pacific,161
396,KX,CAY,CAYMAN,Cayman Airways,141
397,5J,CEB,CEBU AIR,Cebu Pacific,181
398,7N,CNA,,Centavia,131
399,GC,CET,CENTRAFRICAIN,Centrafrican Airlines,151
400,CQ,CCG,Czech Connect,Central Connect Airlines,61
401,9M,GLR,GLACIER,Central Mountain Air,131
402,C0,CLW,CENTRALWINGS,Centralwings,131
403,J7,CVC,AVIACENTRE,Centre-Avia,61
404,WE,CWC,CHALLENGE CARGO,Centurion Air Cargo,201
405,CE,CLG,CHALLAIR,Chalair Aviation,1
406,OP,CHK,CHALKS,Chalk's Ocean Airways,51
407,MG,CCP,CHAMPION AIR,Champion Air,161
408,2Z,CGN,CHANGAN,Changan Airlines,11
409,S8,CSU,CHARI SERVICE,Chari Aviation Services,71
410,RP*,CHQ,CHAUTAUQUA,Chautauqua Airlines,211
411,C8,WDY,WINDY CITY,Chicago Express,51
412,CI,CAL,DYNASTY,China Airlines,181
413,CK,CKK,CARGO KING,China Cargo Airlines,21
414,MU,CES,CHINA EASTERN,China Eastern Airlines,11
415,G5,HXA,CHINA EXPRESS,China Express Airlines,51
416,CJ,CBF,CHINA NORTHERN,China Northern Airlines,191
417,WH,CNW,CHINA NORTHWEST,China Northwest Airlines,141
418,8Y,CYZ,CHINA POST,China Postal Airlines,81
419,CZ,CSN,CHINA SOUTHERN,China Southern Airlines,61
420,KN,CUA,LIANHANG,China United Airlines,181
421,XO,CXH,XINHUA,China Xinhua Airlines,161
422,3Q,CYH,YUNNAN,China Yunnan Airlines,121
423,X7,CHF,CHITA,Chitaavia,151
424,A2,CIU,CIELOS,Cielos Airlines,181
425,QI,CIM,CIMBER,Cimber Air,171
426,C9,RUS,CIRRUS AIR,Cirrus Airlines,131
427,CF,SDR,SWEDESTAR,City Airline,1
428,G3,CIX,CONNEXION,City Connexion Airlines,21
429,WX,BCY,CITY-IRELAND,CityJet,191
430,CJ,CFE,FLYER,Cityflyer Express,21
431,ZM,CNB,CITYHUN,Cityline Hungary,81
432,CT,CAT,Mandarin,Civil Air Transport,141
433,6P,ISG,CLUBAIR,Club Air,141
434,BX,CST,COAST CENTER,Coast Air,61
435,DQ,CXT,U.S. Virgin Islands,Coastal Air,61
436,9L,CJC,COLGAN,Colgan Air,141
437,OH,COM,COMAIR,Comair,211
438,C5,UCA,COMMUTAIR,CommutAir,71
439,KR,CWK,CONTICOM,Comores Airlines,11
440,I5,CMM,CAMALI,Compagnie Aerienne du Mali,161
441,5L,ASU,ASUR,"Compania Boliviana de Transporte Aereo Privado Aerosur, S.A.",31
442,UV,HSE,HELISURESTE,Compania Helicopteros Del Sureste,71
443,GJ,MXC,MEXICARGO,Compania Mexicargo,141
444,CP,CPZ,Compass Rose,Compass Airlines,151
445,DE,CFG,CONDOR,Condor Flugdienst,81
446,6A,CHP,AVIACSA,Consorcio Aviaxsa,161
447,C3,KIS,CONTACTAIR,Contactair,21
448,CO,COA,CONTINENTAL,Continental Airlines,171
449,PC,PVV,CONTAIR,Continental Airways,181
450,CO,COA,JETLINK,Continental Express,171
451,CS,CMI,AIR MIKE,Continental Micronesia,101
452,V0,VCV,CONVIASA,Conviasa,141
453,CM,CMP,COPA,Copa Airlines,21
454,7H,CAI,CORENDON,Corendon Airlines,21
455,SS,CRL,CORSAIR,Corsairfly,81
456,XK,CCM,CORSICA,Corse-Mediterranee,161
457,F5,COZ,COSMIC AIR,Cosmic Air,121
458,7C,COY,COYNE AIR,Coyne Aviation,141
459,OU,CTN,CROATIA,Croatia Airlines,111
460,QE,ECC,Cigogne,Crossair Europe,161
461,J6,VCR,VOE CRUISER,Cruiser Linhas Aereas,81
462,CU,CUB,CUBANA,Cubana de AviaciÃ³n,81
463,CY,CYP,CYPRUS,Cyprus Airways,121
464,YK,KYV,Air Kibris,Cyprus Turkish Airlines,81
465,OK,CSA,CSA-LINES,Czech Airlines,51
466,V5,VPA,VIP TAXI,DanubeWings,171
467,WD,DSR,DAIRAIR,DAS Air Cargo,111
468,DX,DTR,DANISH,DAT Danish Air Transport,211
469,ES,DHX,DILMUN,DHL International,191
470,L3,JOS,,DHL de Guatemala,181
471,D3,DAO,DALO AIRLINES,Daallo Airlines,151
472,N2,DAG,DAGAL,Dagestan Airlines,161
473,H8,KHB,DALAVIA,Dalavia,191
474,R6,DNU,DANU,Danu Oro Transportas,171
475,0D,DWT,DARWIN,Darwin Airline,191
476,D5,DAU,DAUAIR,Dauair,111
477,JD,DER,DEER JET,Deer Jet,131
478,DL,DAL,DELTA,Delta Air Lines,191
479,3D,DNM,DENIM,Denim Air,211
480,1I,AMB,CIVIL AIR AMBULANCE,Deutsche Rettungsflugwacht,141
481,D7,RDN,AERO DINAR,Dinar,81
482,AW,DIR,DIRGANTARA,Dirgantara Air Service,31
483,DH,DVA,DISCOVERY AIRWAYS,Discovery Airways,11
484,D8,DJB,DJIBOUTI AIR,Djibouti Airlines,171
485,Z6,UDN,DNIEPRO,Dniproavia,151
486,DO,DOA,DOMINICANA,Dominicana de AviaciÃ³n,151
487,E3,DMO,DOMODEDOVO,Domodedovo Airlines,141
488,5D,UDC,DONBASS AERO,DonbassAero,161
489,KA,HDA,DRAGON,Dragonair,21
490,KB,DRK,ROYAL BHUTAN,Druk Air,191
491,2D,DBK,SEAGULL,Dubrovnik Air,121
492,DI,BAG,SPEEDWAY,dba,81
493,VE,EUJ,UNION JET,EUjet,1
494,BR,EVA,EVA,EVA Air,181
495,NZ,EAG,EAGLE,Eagle Airways,111
496,YR,EGJ,EAGLE JET,Eagle Jet Charter,91
497,QU,UGX,CRANE,East African,131
498,S9,HSA,DUMA,East African Safari Air,171
499,3E,EMU,,East Asia Airlines,211
500,ZE,ESR,EASTAR,Eastar Jet,121
501,T3,EZE,EASTFLIGHT,Eastern Airways,161
502,QF,EAQ,EASTERN,Eastern Australia Airlines,101
503,DK,ELA,,Eastland Air,211
504,W9,SGR,STINGER,Eastwind Airlines,111
505,WK,EDW,EDELWEISS,Edelweiss Air,191
506,MS,MSR,EGYPTAIR,Egyptair,81
507,LY,ELY,ELAL,El Al Israel Airlines,71
508,UZ,BRQ,BURAQAIR,El-Buraq Air Transport,121
509,EK,UAE,EMIRATES,Emirates Airline,111
510,EM,CFS,EMPIRE AIR,Empire Airlines,31
511,UO,AUO,UNIFORM OSCAR,"Empresa (Aero Uruguay), S.A.",101
512,7L,CRN,AEROCARIBBEAN,Empresa Aerocaribbean,71
513,EU,EEA,ECUATORIANA,Empresa Ecuatoriana De Aviacion,171
514,KG,GTV,GAVIOTA,Empresa de Aviacion Aerogaviota,71
515,G8,ENK,ENKOR,Enkor,131
516,E0,ESS,NEW DAWN,Eos Airlines,161
517,5E,EKA,EQUAFLIGHT,Equaflight Service,101
518,YE,IRY,ERAM AIR,Eram Air,1
519,B8,ERT,ERITREAN,Eritrean Airlines,191
520,E7,ESF,,Estafeta Carga Aerea,61
521,OV,ELL,ESTONIAN,Estonian Air,121
522,ET,ETH,ETHIOPIAN,Ethiopian Airlines,141
523,EY,ETD,ETIHAD,Etihad Airways,161
524,RZ,LRS,,Euro Exec Express,21
525,5B,EAK,EAKAZ,Euro-Asia Air,191
526,MM,MMZ,EUROATLANTIC,EuroAtlantic Airways,171
527,UI,ECA,EUROCYPRIA,Eurocypria Airlines,31
528,GJ,EEZ,E-FLY,Eurofly,111
529,K2,ELO,EUROLOT,Eurolot,191
530,3W,EMX,EUROMANX,Euromanx Airways,171
531,5O,FPO,FRENCH POST,Europe Airpost,61
532,EA,EAL,STAR WING,European Air Express,91
533,QY,BCS,EUROTRANS,European Air Transport,91
534,E7,EAF,EUROCHARTER,European Aviation Air Charter,61
535,EW,EWG,EUROWINGS,Eurowings,161
536,EZ,EIA,EVERGREEN,Evergreen International Airlines,61
537,JN,XLA,EXPO,Excel Airways,71
538,MB,EXA,CANADIAN EXECAIRE,Execair Aviation,131
539,OW,EXK,EXECUTIVE EAGLE,Executive Airlines,71
540,8D,EXV,EXPOAVIA,Expo Aviation,21
541,EO,LHN,LONGHORN,Express One International,61
542,XE,BTA,JET LINK,ExpressJet,111
543,U2,EZY,EASY,easyJet,141
544,IH,MZA,Irtysh,Falcon Aviation,91
545,EF,EFA,Far Eastern,Far Eastern Air Transport,51
546,F6,RCK,ROCKROSE,Faroejet,171
547,F3,FSW,FASO,Faso Airways,211
548,FX,FDX,FEDEX,Federal Express,1
549,N8,HGK,SALAAMA,Fika Salaama Airlines,161
550,4S,FNC,FINALAIR CONGO,Finalair Congo,81
551,FB,FBF,FINE AIR,Fine Airlines,31
552,AY,FIN,FINNAIR,Finnair,91
553,FC,WBA,WESTBIRD,Finncomm Airlines,11
554,FY,FFM,FIREFLY,Firefly,211
555,7F,FAB,,First Air,11
556,F6,FCC,FIRST CAMBODIA,First Cambodia Airlines,181
557,DP,FCA,JETSET,First Choice Airways,81
558,8F,FFR,FISCHER,Fischer Air,41
559,FK,WAF,FLAMENCO,Flamenco Airways,181
560,B5,FLT,FLIGHTLINE,Flightline,141
561,PA,FCL,FLORIDA COASTAL,Florida Coastal Airlines,141
562,RF,FWL,FLO WEST,Florida West International Airways,101
563,F2,FLM,FLY WORLD,Fly Air,171
564,SH,FLY,FLYBIRD,Fly Me Sweden,211
565,D7,XFA,FAX AIR,FlyAsianXpress,131
566,TE,LIL,LITHUANIA AIR,FlyLal,211
567,LF,NDC,NORDIC,FlyNordic,181
568,F7,BBO,BABOO,Flybaboo,41
569,BE,BEE,JERSEY,Flybe,141
570,B4,GSM,GLOBESPAN,Flyglobespan,111
571,2Q,ETS,EXTRANS,Flygtransporter I Nykoping,201
572,W3,FYH,FLY HIGH,Flyhy Cargo Airlines,21
573,7Y,FCR,FLYING CARPET,Flying Carpet Company,11
574,VY,FOS,,Formosa Airlines,101
575,HK,FSC,FOUR STAR,Four Star Aviation,151
576,XD ,FHY,FREE BIRD,Free Bird Airlines,171
577,SJ,FOM,FREE AIR,Freedom Air,71
578,F9,FFT,FRONTIER FLIGHT,Frontier Airlines,191
579,2F,FTA,FRONTIER-AIR,Frontier Flying Service,91
580,FH,FUA,FUTURA,Futura International Airways,61
581,GT,GBL,GEEBEE AIRWAYS,GB Airways,111
582,Z5,GMG,,GMG AIRLINES LTD,41
583,Z5,GMG,GEE-EM HELICOPTERS,GM Helicopters,161
584,7O,GAL,GALAXY,Galaxy Air,161
585,GC,GNR,GAMBIA INTERNATIONAL,Gambia International Airlines,51
586,G7,GNF,Gandalf,Gandalf Airlines,81
587,GA,GIA,INDONESIA,Garuda Indonesia,11
588,4G,GZP,GAZPROMAVIA,Gazpromavia,71
589,GR,GCO,GEMINI,Gemini Air Cargo,31
590,A9,TGZ,TAMAZI,Georgian Airways,191
591,QB,GFG,NATIONAL,Georgian National Airlines,191
592,ST,GMI,GERMANIA,Germania,71
593,4U,GWI,GERMAN WINGS,Germanwings,161
594,GP,GES,GESTAIR,Gestair,101
595,GH,GHA,GHANA,Ghana Airways,61
596,G0,GHB,GHANA AIRLINES,Ghana International Airlines,91
597,G8,GOW,GOAIR,Go Air,71
598,G7,GJS,LINDBERGH,GoJet Airlines,21
